OBJECTID,Tract_1,CIscore,HazScore,HealthScore,SVscore,CCVscore,Shape__Area,Shape__Length
865,6037231210,16,3,4,5,4,468851.78515625,2918.07501894494
866,6037231720,19,4,5,5,5,683778.515625,3358.52169975843
867,6037232400,13,2,3,5,3,1623787.58984375,5119.12535193139
868,6037232300,14,4,3,4,3,916914.703125,4247.32104220051
869,6037232200,14,4,3,4,3,762649.2421875,3996.85545448721
870,6037232110,18,5,4,5,4,553054.76953125,3237.75497429721
871,6037125320,18,5,4,4,5,929399.66796875,4839.45694742844
872,6037277200,13,5,4,3,1,1518655.73046875,5572.41165466982
873,6037291110,14,4,4,4,2,1031836.69140625,4249.01702155757
874,6037703001,7,2,3,1,1,6921222.75,15726.0032752948
875,6037231600,17,4,4,5,4,1392304.0234375,4819.06999429165
876,6037291120,15,4,4,5,2,1017616.625,4037.67957024423
877,6037125310,16,5,3,3,5,1542260.19140625,7088.23717842028
878,6037291130,15,5,5,3,2,1884350.08203125,5823.48623369511
879,6037124600,8,1,4,1,2,1636980.77734375,5273.45877292372
880,6037540400,19,5,5,5,4,491705.7265625,3044.13153488439
881,6037535607,15,5,4,5,1,1370845.640625,5312.68646053388
882,6037124000,9,1,3,2,3,1972070.26953125,6153.12318968068
883,6037532700,16,3,5,5,3,1128259.05078125,5013.62580754481
884,6037540502,17,4,4,5,4,871562.9296875,4084.2418847271
885,6037540202,16,3,4,5,4,1102708.45703125,4606.82817898635
886,6037540501,17,5,5,4,3,2116086.34765625,6995.34392615653
887,6037540201,16,3,4,5,4,381343.59765625,3801.91332189762
888,6037532400,16,5,5,2,4,18861501.75,25356.5349066935
889,6037402801,18,5,4,5,4,2626762.4296875,8079.55248810191
890,6037402502,13,1,4,5,3,2149142.34765625,6662.12600959572
891,6037402402,12,3,5,3,1,7811908.328125,16087.6980950795
892,6037402403,14,4,5,3,2,2967141.8828125,11737.5528374281
893,6037402902,13,2,5,4,2,2680488.43359375,7634.02953078249
894,6037402404,11,4,5,1,1,6132975.75,13662.8851554897
895,6037403303,11,4,5,1,1,6502222.5,12798.100466637
896,6037403000,13,2,5,4,2,3533258.56640625,9523.68983558464
897,6037192420,16,5,4,3,4,474981.86328125,2926.16852516572
898,6037192410,14,4,4,2,4,999135.97265625,3999.12467680465
899,6037192510,17,4,4,4,5,501789.66796875,2980.5150196283
900,6037192520,18,4,4,5,5,445820.4375,2866.20038047006
901,6037192610,18,5,5,4,4,606450.39453125,3370.02519645085
902,6037195400,15,5,5,2,3,1505674.81640625,6248.84700979947
903,6037192700,18,5,5,4,4,776715.90234375,3542.68562796135
904,6037194300,7,3,2,1,1,3617596.87890625,12768.8043752107
905,6037192620,20,5,5,5,5,355844.78125,2675.49966681801
906,6037195600,14,4,5,3,2,764518.7890625,4108.77535395151
907,6037195100,10,4,4,1,1,2771466.1015625,7982.06897846239
908,6037570001,9,2,2,1,4,2229026.00390625,6395.95677319182
909,6037570902,6,1,1,2,2,1536213.375,5208.05990569182
910,6037570702,10,3,1,2,4,983355.9140625,4056.15454084924
911,6037570701,11,2,2,2,5,2574781.453125,7720.26256889802
912,6037571101,6,1,2,1,2,1921084.18359375,5837.65569338478
913,6037571300,6,2,1,1,2,3030139.0859375,6990.32581545423
914,6037570003,8,1,4,2,1,1664007.828125,5225.48578883336
915,6037571102,5,1,1,1,2,1828832.52734375,5739.40073623677
916,6037555211,13,3,2,4,4,1157974.8203125,4338.90708830963
917,6037570202,15,3,5,3,4,2426978.08984375,6972.31980617256
918,6037503802,7,1,2,2,2,1921002.16796875,5745.97310981834
919,6037503801,7,2,2,1,2,1889843.06640625,6763.21162884918
920,6037503902,9,3,2,2,2,7692190.953125,12945.9477416289
921,6037504002,10,2,3,2,3,2247458.86328125,6561.91253828787
922,6037503901,11,3,2,2,4,1325941.36328125,5950.91238932437
923,6037480102,12,2,4,2,4,1805640.578125,5464.77445718307
924,6037504101,14,4,3,3,4,1774034.58984375,5828.38761038185
925,6037980004,0,1,3,0,5,66890799.5390625,34513.1215457847
926,6037980003,0,0,1,0,5,287070344.042969,101365.729871749
927,6037980002,0,0,2,0,5,10123433.9257813,13894.9227406251
928,6037980001,0,0,3,0,5,3393107.1015625,8386.82861426348
929,6037930301,5,1,1,2,1,1517412111.89844,230404.164041504
930,6037920338,4,1,1,1,1,5470776.41796875,12538.0562054561
931,6037920119,4,1,1,1,1,7460108.93359375,12612.6865914599
932,6037920116,4,1,1,1,1,10948731.890625,16269.3851128911
933,6037920045,4,1,1,1,1,2757173.21875,7360.74886492464
934,6037910713,9,1,1,4,3,2953620.8359375,7460.06355078173
935,6037910712,11,3,1,3,4,3066361.56640625,7131.95212782746
936,6037188201,10,4,3,1,2,1130668.65625,6267.11184107008
937,6037187101,15,5,5,2,3,1155526.4453125,4756.81656646534
938,6037186404,16,4,5,3,4,588541.49609375,3268.9093537225
939,6037186403,17,4,5,3,5,793843.7265625,4417.91683171056
940,6037186302,12,3,4,3,2,2461905.73046875,6577.22412467163
941,6037186203,12,3,4,2,3,1232681.671875,5797.4391579454
942,6037186202,14,4,3,3,4,600577.5859375,4053.03732596919
943,6037271802,11,3,4,2,2,840145.59765625,3714.65235425684
944,6037272100,8,1,4,2,1,1749189.078125,5451.1321645611
945,6037272302,11,3,4,2,2,740303.3046875,3885.3285130951
946,6037272301,8,1,4,2,1,878181.63671875,4683.14219747584
947,6037139802,5,1,1,1,2,8880851.359375,17181.5279773533
948,6037185320,19,5,5,4,5,869787.8359375,5230.14249793757
949,6037139801,5,1,1,1,2,5372142.32421875,10194.0990456198
950,6037135102,5,1,2,1,1,2460903.07421875,7029.41684868948
951,6037139702,4,1,1,1,1,13750095.7734375,23957.2386747463
952,6037700300,11,3,5,1,2,888583.12109375,5206.28721705176
953,6037113213,11,5,1,2,3,1901524.3671875,6213.48965914001
954,6037530301,20,5,5,5,5,852083.90234375,4094.67825563947
955,6037530302,17,3,5,4,5,1240880.8515625,4925.046062978
956,6037532002,19,5,5,4,5,1218436.1328125,5515.27914958608
957,6037532101,19,5,5,5,4,2093299.640625,5776.04317590319
958,6037138000,5,2,1,1,1,6550160.98046875,11492.3897463885
959,6037481714,15,1,4,5,5,668820.6484375,3808.4875938082
960,6037481800,15,5,4,2,4,1200296.37890625,4775.36199154697
961,6037433200,17,4,4,4,5,2611624.28515625,8135.76912284328
962,6037433302,19,5,4,5,5,1264203.70703125,6253.01277565165
963,6037433501,20,5,5,5,5,1733094.890625,5342.19746624602
964,6037433402,18,5,4,5,4,833871.29296875,3750.75228890042
965,6037433700,17,4,5,4,4,4676429.41796875,9596.11261340654
966,6037433801,18,5,4,5,4,2294326.84375,6141.9151704389
967,6037433601,15,4,4,4,3,1640554.625,5383.67978477983
968,6037134710,14,4,2,4,4,836213.28125,3670.43045904396
969,6037134520,17,5,2,5,5,1417381.95703125,4854.53289861492
970,6037134720,13,4,2,3,4,1450281.0078125,4906.23323539085
971,6037134800,8,2,3,2,1,2733441.93359375,6846.38868762725
972,6037134901,11,2,3,2,4,1548283.7734375,5593.64799229101
973,6037135111,9,2,3,2,2,1532751.44921875,4995.24881080491
974,6037135201,5,1,1,1,2,2243743.8203125,6860.4154434615
975,6037408628,11,1,4,3,3,3591652.3515625,9554.82242226773
976,6037408705,9,1,3,3,2,2798257.23046875,7012.65063459514
977,6037408703,7,1,3,2,1,24878795.2265625,25822.5728038668
978,6037406602,10,2,2,3,3,2319674.9296875,6817.89023411831
979,6037408800,18,5,4,5,4,2617934.97265625,7414.55717719564
980,6037232600,18,5,4,5,4,1157630.3359375,4510.98743006793
981,6037232500,17,5,3,5,4,1121579.57421875,4394.19470703617
982,6037232800,19,5,5,5,4,624110.8984375,3209.18766970624
983,6037232700,18,5,5,4,4,1063962,4232.77826263042
984,6037234300,16,4,5,3,4,1262782.22265625,4479.16649424859
985,6037234700,12,3,3,3,3,1083480.984375,5452.6202179395
986,6037234800,12,4,3,3,2,953727.7265625,3906.51689420024
987,6037235100,7,1,3,2,1,1721643.2109375,6677.27981023246
988,6037234600,10,2,3,3,2,1895967.78125,6560.31000267872
989,6037234000,13,2,4,3,4,1818300.23828125,6470.6249925528
990,6037235202,16,5,3,4,4,1240125.4765625,4862.9227708458
991,6037235201,14,5,3,3,3,948146.55078125,3916.77694424784
992,6037703100,9,3,3,2,1,3885186.63671875,9840.74352196101
993,6037700600,7,1,4,1,1,8313715,17293.6555696161
994,6037703200,10,3,4,2,1,3069145.44921875,8384.07768451365
995,6037701502,11,4,4,1,2,897410.171875,4548.73479005554
996,6037620002,11,5,3,1,2,1725233.5625,5815.43772110035
997,6037533701,18,5,4,5,4,584788.1484375,3048.217830933
998,6037191000,18,5,5,3,5,946601.3515625,4116.2466525286
999,6037533107,18,4,5,5,4,503615.06640625,3736.75659397642
1000,6037534302,16,4,5,5,2,562448.6796875,3591.2616886453
1001,6037532500,18,5,5,4,4,1485469.078125,7079.04948214761
1002,6037534404,17,3,5,5,4,597978.29296875,3540.26499954441
1003,6037481201,14,2,4,4,4,1466295.01171875,5822.95561078954
1004,6037533401,15,4,5,4,2,689314.7734375,4129.52701266847
1005,6037123206,18,5,3,5,5,883422.828125,3789.11167685652
1006,6037534201,19,5,5,5,4,748463.64453125,3774.90283909684
1007,6037534900,17,3,5,5,4,1531427.89453125,5498.71270317095
1008,6037430801,10,3,2,2,3,2501781.78125,6560.02965233012
